"54","UWCNF_4","1338","rhizoplaca",2011,2012,"ICP",3.07,0.11,NA,0.96,0.03,0.05,NA,0.73,NA,13.62,NA,0.11,5.96,8.01,721.1,12.01,NA,NA,0.45,30.28,0.01,117.4,31.38,18.11,0.005,17.44,NA,NA,NA,0.459,39.8,NA,"40.44035","-111.7203"
"55","HTNF_1","1399","xanthomendoza",2012,2012,"ICP",0.35,1.82,0.23,2.7,0.39,0.27,NA,1.72,NA,20.3,0.55,0.78,2.14,6.4,1775,81,0.005,103.4,1.78,5.7,0.01,0.245,9,45.3,0.005,158.6,NA,NA,NA,0.04,39.183,NA,"38.2955","-115.4836"
"56","MI_ReInvent_15","1197","rhizoplaca ",2009,2009,"nk",6.71,0.38,0.116,0.69,0.137,0.103,NA,9.59,NA,33.78,5.29,1.28,9.04,12.06,3334,58.21,0.005,68.28,1.82,106.1,0.01,0.245,28.95,87.22,0.005,42.45,NA,NA,NA,0.284,38.23,NA,"46.84818","-111.7377"
"57","WPC_6","1253","rhizoplaca",2010,2010,"ICP",1.49,0.09,0.03,0.77,0.03,0.04,83.37,0.02,NA,16.55,0.14,0.12,2.25,3.18,460,8.09,0.005,40.68,0.72,5.54,0.01,21.18,13.91,12.06,0.005,14.72,NA,NA,NA,0.216,38.143,NA,"39.121633","-115.413483"
"58","WRNF_FTWA_17","1202","rhizoplaca ",2009,2009,"ICP",3.28,0.22,0.15,0.78,0.068,0.101,1.57,1.84,NA,13.28,0.94,1.46,7.99,5.42,3064,41.7,0.005,25.81,5.76,15.56,0.01,0.245,43.33,81.36,0.005,22.51,NA,NA,NA,0.24,37.7,NA,"39.83099","-107.3033"
"59","HUW_10","1162","xanthoparmelia",NA,2009,"nk",2.844,0.613,0.199,1.028,0.176,0.124,NA,8.29,NA,45.98,0.51,0.54,11.1,13.36,5418,74.3,0.005,147.5,3.8,17.41,0.01,0.245,27.12,151.2,0.005,60.56,NA,NA,NA,0.221,35.8,NA,"40.55406","-110.32389"
"60","UWCNF_12","1395","rhizoplaca",2012,2012,"ICP",3.34,0.82,0.09,1.21,0.14,0.15,NA,0.49,NA,11.4,0.72,0.66,2.9,5.06,1971,63.4,0.005,46.1,2.2,5.3,0.01,117.66,38.5,55.1,0.005,41.2,NA,NA,NA,0.123,35.77,NA,"39.80445","-111.6944"
"61","WRNF_FTWA_19","1208","rhizoplaca",2009,2009,"ICP",3.66,0.38,0.116,1.06,0.142,0.129,1.57,4.12,NA,21.21,2.11,2.41,8.62,12.52,2437,149.1,0.005,52,5.35,8.13,0.01,19.39,40.14,68.32,0.005,33.33,NA,NA,NA,0.38,35.7,NA,"39.79772","-107.16575"
"62","HUW_12","1176","xanthoparmelia",2009,2009,"nk",3.49,0.39,0.17,1.09,0.149,0.098,NA,3.73,NA,49.34,1.84,2.03,11.02,11.25,3613,76.79,0.005,50.36,8.16,24.43,0.01,0.245,47.74,101.3,0.005,37.61,NA,NA,NA,0.3,35.67,NA,"40.8873","-109.75504"
"63","WPC_9","1255","rhizoplaca",2010,2010,"ICP",1.23,0.18,0.03,1.32,0.07,0.08,65.63,0.02,NA,11.68,0.14,0.03,1.98,2.9,329.1,8.97,0.005,49.19,0.5,4.5,0.01,3,15.92,9.32,0.005,9.62,NA,NA,NA,0.301,35.311,NA,"38.86785","-115.374383"
"64","HTNF_1","1400","rhizoplaca",2012,2012,"ICP",3.73,0.7,0.06,0.97,0.12,0.12,NA,0.96,NA,5.2,0.39,0.2,0.35,2.25,684,19.8,0.005,46.8,0.44,9.6,0.01,100,17.8,19.5,0.005,28,NA,NA,NA,0.08,35.077,NA,"38.2955","-115.4836"
"65","HTNF_4","1406","rhizoplaca",2012,2012,"ICP",4.81,0.56,0.08,0.93,0.09,0.11,NA,0.79,NA,10.2,0.51,0.42,2.02,2.89,1451,43.1,0.005,67.7,1.19,14.2,0.01,93.03,56.1,41.7,0.005,25.5,NA,NA,NA,0.113,34.796,NA,"38.39502","-115.5012"
"66","UWCNF_4","1337","xanthomendoza",2011,2012,"ICP",0.17,0.39,NA,2.7,0.1,0.11,NA,1.04,NA,21.3,NA,0.31,3.18,6.5,897.1,27.06,NA,NA,0.66,3.55,0.01,10.33,4.3,26.05,0.005,65.3,NA,NA,NA,0.1,34.438,NA,"40.44035","-111.7203"
"67","WPC_4","1171","rhizoplaca",2009,2009,"nk",6.99,0.27,0.077,1.05,0.074,0.103,NA,1.3,NA,14.34,0.74,0.38,3.02,6.39,1124,25.05,0.005,61.77,0.69,15.87,0.01,21.43,89.7,32.64,0.005,35.45,NA,NA,NA,0.18,34.4,NA,"39.24717","-114.10825"
"68","WRNF_FTWA_18","1205","xanthoparmelia",2009,2009,"ICP",2.94,0.35,0.068,0.73,0.098,0.088,1.57,1.1,NA,13.65,0.42,0.37,3.66,4.67,1174,31.26,0.005,2.8,1.51,3.12,0.01,0.245,12.34,34.25,0.005,37.48,NA,NA,NA,0.12,34.3,NA,"39.82666","-107.29855"
"69","DPW_2","1493","xanthomendoza",2014,2014,"ICP",0.38,0.84,0.14,1.91,0.23,0.23,NA,3.94,11.1,39.6,0.49,0.54,2.3,6.03,1077,46,0.86,169,1.22,2.28,0.01,219,24.4,32.2,0.005,125,NA,NA,NA,0.048,33.447,NA,"40.48212","-112.60738"
"70","WRNF_FTWA_10","1214","usnea",2009,2009,"ICP",1.72,0.4,0.089,1.17,0.076,0.118,1.57,0.41,NA,28.17,0.29,0.42,3.11,10.42,531.3,71.85,0.005,60.19,3.25,6.22,0.01,7.85,23.81,16.31,0.005,17.27,NA,NA,NA,0.6,32.6,NA,"39.81726","-107.54354"
"71","UWCNF_7","1317","xanthomendoza",2011,2012,"ICP",0.6,0.85,NA,2.37,0.25,0.23,NA,2.78,NA,90.65,NA,0.86,6.07,10.83,2421,82.88,NA,NA,1.67,10.21,0.01,30.93,11.23,75.14,0.005,100.1,NA,NA,NA,0.108,32.22,NA,"39.90448","-111.7343"
"72","HUW_9","1159","xanthoparmelia",NA,2009,"nk",8.154,0.359,0.144,0.779,0.091,0.083,NA,0.51,NA,56.94,0.55,0.93,9.37,8.43,4073,43.8,0.005,94.54,1.91,10.83,0.01,11.86,65.79,127.4,0.005,60.63,NA,NA,NA,0.139,32,NA,"40.5976","-109.84063"
"73","NCHT_6","1452","rhizoplaca",2013,2013,"ICP",2.86,0.63,0.1,0.94,0.11,0.12,NA,3.6,12.58,23.12,2.37,2.23,2.58,6.1,1884,54.6,0.37,108.3,1.99,11.3,0.01,107.2,76.4,60.02,0.005,38,NA,NA,NA,0.161,31.38953682,NA,"38.63395","-116.6732"
"74","UWCNF_22","1339","xanthomendoza",2011,2012,"ICP",0.23,0.26,NA,1.98,0.06,0.05,NA,2.23,NA,27.04,NA,0.22,2.42,4.82,683.7,25.22,NA,NA,0.43,14.8,0.01,20.84,3.12,21.97,0.005,59.44,NA,NA,NA,0.081,31.12,NA,"40.52242","-111.6126"
"75","HTNF_2","1402","rhizoplaca",2012,2012,"ICP",3.59,0.81,0.08,0.99,0.12,0.15,NA,0.26,NA,8.6,0.39,0.24,0.61,2.99,796,24.8,0.005,84.5,0.29,6.3,0.01,7.24,16.8,25.6,0.005,34.9,NA,NA,NA,0.086,31.094,NA,"38.1671","-115.60889"
"76","SCNF_41","613","xanthoparmelia",1997,NA,"PIXE",1.606,0.1,NA,NA,0.0242,0.021,131,3.63,NA,106,NA,10.9,4.24,2.96,795,20.6,NA,NA,2.92,8.2,3.13,1075,44.9,25.8,15.5,24.7,59.7,6.75,5.34,0.12,30.81,NA,"44.24213","-113.1963"
"77","UWCNF_18","1327","xanthomendoza",2011,2012,"ICP",0.55,1.14,NA,2.73,0.32,0.26,NA,2.47,NA,71.9,NA,1.15,9.17,8.3,3248,142.1,NA,NA,4.74,3.22,0.01,34.46,7.13,105.7,0.005,86.67,NA,NA,NA,0.096,30.728,NA,"40.30217","-111.0125"
"78","UWCNF_9","1398","xanthomendoza",2012,2012,"ICP",0.32,1.79,0.2,1.99,0.31,0.23,NA,0.34,NA,9.3,0.67,0.62,1.61,6.81,1213,61.9,0.005,131.4,1.27,2.9,0.01,14.16,9.9,40.1,0.005,102.8,NA,NA,NA,0.066,30.249,NA,"40.39097","-111.6774"
"79","WPC_7","1252","rhizoplaca",2010,2010,"ICP",1.83,0.1,0.03,0.8,0.03,0.05,133.3,0.02,NA,13.53,0.18,0.12,5.52,5.41,364.4,8.32,0.005,54.01,0.55,6.56,0.01,96.94,27.07,12.36,0.005,16.07,NA,NA,NA,0.337,29.482,NA,"39.04171","-115.30128"
"80","UWCNF_21","1336","xanthomendoza",2011,2012,"ICP",0.16,0.17,NA,2,0.07,0.06,NA,0.57,NA,36.7,NA,0.34,2.32,3.38,708.8,58.31,NA,NA,0.41,2.55,0.01,17.26,2.9,24.21,0.005,19.78,NA,NA,NA,0.171,29.277,NA,"40.49043","-111.1093"
"81","WPC_8","1254","rhizoplaca",2010,2010,"ICP",1.18,0.05,0.02,0.76,0.02,0.03,85.01,0.02,NA,13.42,0.11,0.18,2.34,2.86,609.9,10.17,0.005,54.9,0.44,6.35,0.01,0.245,22.1,20.96,0.005,8.64,NA,NA,NA,0.331,29.098,NA,"38.9089","-115.3851"
"82","WRNF_FTWA_21","1239","usnea",2010,2009,"ICP",0.93,0.71,0.12,1.07,0.15,0.09,75.15,1.98,NA,160.9,1.56,1.53,6.59,7.42,236.7,200.4,2.1,97.73,2.05,4.8,2.04,34.06,31,8.18,0.11,27.33,NA,NA,NA,0.27,28.9,NA,"40.02094","-107.11884"
